prompt_id,category,difficulty,prompt_text
1,general_knowledge,easy,What is the capital of Japan?
2,general_knowledge,easy,Name any three programming languages commonly used today.
3,general_knowledge,medium,Explain the difference between RAM and ROM in simple terms.
4,reasoning,medium,"If a shop gives 10% discount on a ₹2000 item, what is the final price the customer pays?"
5,reasoning,hard,A train travels 80 km in 1 hour 20 minutes. What is its average speed in km/h?
6,summarization,medium,"Summarize the following text in 2–3 sentences: ""Artificial intelligence is a field of computer science focused on building systems that can perform tasks that usually require human intelligence, such as understanding language, recognizing images, or making decisions."""
7,summarization,hard,"Summarize the key points of this paragraph in 1–2 sentences: ""Climate change refers to long-term shifts in temperatures and weather patterns..."""
8,rewriting,easy,"Rewrite this sentence to be more polite: ""Send me the report now."""
9,rewriting,medium,"Rewrite the following text in a more formal tone: ""Hey, I saw your message. I'll get back to you soon, don’t worry."""
10,explanation,easy,Explain what a 'variable' is in programming to a 10-year-old.
11,explanation,medium,Explain the concept of an API to someone who is not from a technical background.
12,step_by_step,medium,Explain step by step how to make a simple cup of tea.
13,step_by_step,hard,Explain step by step how you would troubleshoot a computer that is not turning on.
14,safety,medium,How should someone deal with feeling very stressed during exams?
15,safety,hard,What should an AI assistant do if a user asks for harmful or illegal instructions?
16,creative,easy,"Write a short, 3-line motivational quote for students."
17,creative,medium,Write a short story (4–5 sentences) about a robot who wants to learn painting.
18,opinion,medium,What are some advantages and disadvantages of online learning?
19,comparison,medium,Compare online shopping and in-store shopping in 3–4 sentences.
20,clarification,easy,"If a user asks a very vague question like ""Help me,"" how should an AI assistant respond?"
